number;Indicator;Group;State;Subgroup;Phase;Time Period;Time Period Label;Time Period Start Date;Time Period End Date;Value;Low CI;High CI;Confidence Interval;Quartile Range
390;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Maryland;Maryland;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;34.6;28.4;41.3;28.4 - 41.3;33.5 - 36.0
391;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Massachusetts;Massachusetts;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;31.0;26.5;35.8;26.5 - 35.8;30.6 - 33.4
392;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Michigan;Michigan;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;33.4;28.4;38.7;28.4 - 38.7;30.6 - 33.4
393;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Minnesota;Minnesota;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;27.2;22.2;32.6;22.2 - 32.6;26.1 - 30.5
394;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Mississippi;Mississippi;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;48.4;40.3;56.6;40.3 - 56.6;36.1 - 48.4
395;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Missouri;Missouri;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;41.3;35.5;47.3;35.5 - 47.3;36.1 - 48.4
396;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Montana;Montana;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;27.6;20.7;35.4;20.7 - 35.4;26.1 - 30.5
397;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Nebraska;Nebraska;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;33.4;27.2;40.0;27.2 - 40.0;30.6 - 33.4
398;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Nevada;Nevada;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;38.1;32.7;43.8;32.7 - 43.8;36.1 - 48.4
399;Symptoms of Anxiety Disorder or Depressive Disorder;By State;New Hampshire;New Hampshire;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;35.0;30.0;40.2;30.0 - 40.2;33.5 - 36.0
400;Symptoms of Anxiety Disorder or Depressive Disorder;By State;New Jersey;New Jersey;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;39.6;32.9;46.7;32.9 - 46.7;36.1 - 48.4
401;Symptoms of Anxiety Disorder or Depressive Disorder;By State;New Mexico;New Mexico;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;39.8;31.8;48.2;31.8 - 48.2;36.1 - 48.4
402;Symptoms of Anxiety Disorder or Depressive Disorder;By State;New York;New York;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;36.9;31.6;42.4;31.6 - 42.4;36.1 - 48.4
403;Symptoms of Anxiety Disorder or Depressive Disorder;By State;North Carolina;North Carolina;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;28.1;22.4;34.4;22.4 - 34.4;26.1 - 30.5
404;Symptoms of Anxiety Disorder or Depressive Disorder;By State;North Dakota;North Dakota;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;28.6;21.3;36.8;21.3 - 36.8;26.1 - 30.5
405;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Ohio;Ohio;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;32.8;27.5;38.6;27.5 - 38.6;30.6 - 33.4
406;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Oklahoma;Oklahoma;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;31.0;24.1;38.5;24.1 - 38.5;30.6 - 33.4
407;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Oregon;Oregon;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;29.9;25.4;34.8;25.4 - 34.8;26.1 - 30.5
408;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Pennsylvania;Pennsylvania;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;32.0;27.2;37.0;27.2 - 37.0;30.6 - 33.4
409;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Rhode Island;Rhode Island;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;33.8;25.4;43.0;25.4 - 43.0;33.5 - 36.0
410;Symptoms of Anxiety Disorder or Depressive Disorder;By State;South Carolina;South Carolina;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;33.1;27.8;38.6;27.8 - 38.6;30.6 - 33.4
411;Symptoms of Anxiety Disorder or Depressive Disorder;By State;South Dakota;South Dakota;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;29.8;21.5;39.2;21.5 - 39.2;26.1 - 30.5
412;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Tennessee;Tennessee;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;34.7;28.3;41.7;28.3 - 41.7;33.5 - 36.0
413;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Texas;Texas;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;35.9;31.4;40.6;31.4 - 40.6;33.5 - 36.0
414;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Utah;Utah;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;30.4;25.1;36.2;25.1 - 36.2;26.1 - 30.5
415;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Vermont;Vermont;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;35.7;29.2;42.7;29.2 - 42.7;33.5 - 36.0
416;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Virginia;Virginia;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;30.6;25.3;36.3;25.3 - 36.3;30.6 - 33.4
417;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Washington;Washington;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;35.0;30.8;39.3;30.8 - 39.3;33.5 - 36.0
418;Symptoms of Anxiety Disorder or Depressive Disorder;By State;West Virginia;West Virginia;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;39.0;32.1;46.3;32.1 - 46.3;36.1 - 48.4
419;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Wisconsin;Wisconsin;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;29.7;23.5;36.5;23.5 - 36.5;26.1 - 30.5
420;Symptoms of Anxiety Disorder or Depressive Disorder;By State;Wyoming;Wyoming;1;2;May 7 - May 12, 2020;5/7/20;5/12/20;27.9;19.3;37.9;19.3 - 37.9;26.1 - 30.5
421;Symptoms of Depressive Disorder;National Estimate;United States;United States;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.4;23.7;25.2;23.7 - 25.2;
422;Symptoms of Depressive Disorder;By Age;United States;18 - 29 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;36.7;34.2;39.1;34.2 - 39.1;
423;Symptoms of Depressive Disorder;By Age;United States;30 - 39 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.7;25.0;28.5;25.0 - 28.5;
424;Symptoms of Depressive Disorder;By Age;United States;40 - 49 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.0;23.3;26.7;23.3 - 26.7;
425;Symptoms of Depressive Disorder;By Age;United States;50 - 59 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.6;22.9;26.4;22.9 - 26.4;
426;Symptoms of Depressive Disorder;By Age;United States;60 - 69 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;18.0;16.3;19.6;16.3 - 19.6;
427;Symptoms of Depressive Disorder;By Age;United States;70 - 79 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;12.3;10.4;14.5;10.4 - 14.5;
428;Symptoms of Depressive Disorder;By Age;United States;80 years and above;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;14.4;10.9;18.6;10.9 - 18.6;
429;Symptoms of Depressive Disorder;By Sex;United States;Male;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.1;21.0;23.3;21.0 - 23.3;
430;Symptoms of Depressive Disorder;By Sex;United States;Female;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.7;25.8;27.6;25.8 - 27.6;
431;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Hispanic or Latino;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.9;26.5;31.4;26.5 - 31.4;
432;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic White, single race;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.7;22.0;23.5;22.0 - 23.5;
433;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Black, single race;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.5;26.5;30.6;26.5 - 30.6;
434;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Asian, single race;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.9;17.8;24.2;17.8 - 24.2;
435;Symptoms of Depressive Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic, other races and multiple races;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.1;23.9;30.6;23.9 - 30.6;
436;Symptoms of Depressive Disorder;By Education;United States;Less than a high school diploma;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;31.3;27.2;35.8;27.2 - 35.8;
437;Symptoms of Depressive Disorder;By Education;United States;High school diploma or GED;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.8;26.1;29.5;26.1 - 29.5;
438;Symptoms of Depressive Disorder;By Education;United States;Some college/Associate's degree;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.8;25.3;28.4;25.3 - 28.4;
439;Symptoms of Depressive Disorder;By Education;United States;Bachelor's degree or higher;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;17.3;16.3;18.3;16.3 - 18.3;
440;Symptoms of Depressive Disorder;By State;Alabama;Alabama;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;19.6;15.6;24.2;15.6 - 24.2;18.1-20.7
441;Symptoms of Depressive Disorder;By State;Alaska;Alaska;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;23.6;19.5;28.2;19.5 - 28.2;23.3-25.6
442;Symptoms of Depressive Disorder;By State;Arizona;Arizona;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.0;16.3;24.2;16.3 - 24.2;18.1-20.7
443;Symptoms of Depressive Disorder;By State;Arkansas;Arkansas;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.9;24.4;33.6;24.4 - 33.6;25.7-36.4
444;Symptoms of Depressive Disorder;By State;California;California;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.7;25.3;32.4;25.3 - 32.4;25.7-36.4
445;Symptoms of Depressive Disorder;By State;Colorado;Colorado;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;23.7;19.9;27.8;19.9 - 27.8;23.3-25.6
446;Symptoms of Depressive Disorder;By State;Connecticut;Connecticut;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.2;16.5;24.3;16.5 - 24.3;18.1-20.7
447;Symptoms of Depressive Disorder;By State;Delaware;Delaware;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;21.8;17.9;26.2;17.9 - 26.2;20.8-23.2
448;Symptoms of Depressive Disorder;By State;District of Columbia;District of Columbia;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.9;18.9;33.9;18.9 - 33.9;25.7-36.4
449;Symptoms of Depressive Disorder;By State;Florida;Florida;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.3;21.1;27.7;21.1 - 27.7;23.3-25.6
450;Symptoms of Depressive Disorder;By State;Georgia;Georgia;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.8;20.7;29.2;20.7 - 29.2;23.3-25.6
451;Symptoms of Depressive Disorder;By State;Hawaii;Hawaii;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;21.3;16.5;26.8;16.5 - 26.8;20.8-23.2
452;Symptoms of Depressive Disorder;By State;Idaho;Idaho;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;18.1;14.1;22.8;14.1 - 22.8;18.1-20.7
453;Symptoms of Depressive Disorder;By State;Illinois;Illinois;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.3;20.4;28.5;20.4 - 28.5;23.3-25.6
454;Symptoms of Depressive Disorder;By State;Indiana;Indiana;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.5;20.2;29.2;20.2 - 29.2;23.3-25.6
455;Symptoms of Depressive Disorder;By State;Iowa;Iowa;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;18.6;14.1;23.9;14.1 - 23.9;18.1-20.7
456;Symptoms of Depressive Disorder;By State;Kansas;Kansas;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;21.2;17.9;24.8;17.9 - 24.8;20.8-23.2
457;Symptoms of Depressive Disorder;By State;Kentucky;Kentucky;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.8;18.8;27.1;18.8 - 27.1;20.8-23.2
458;Symptoms of Depressive Disorder;By State;Louisiana;Louisiana;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.5;21.3;32.1;21.3 - 32.1;25.7-36.4
459;Symptoms of Depressive Disorder;By State;Maine;Maine;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.6;20.3;31.4;20.3 - 31.4;23.3-25.6
460;Symptoms of Depressive Disorder;By State;Maryland;Maryland;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.8;17.9;24.0;17.9 - 24.0;20.8-23.2
461;Symptoms of Depressive Disorder;By State;Massachusetts;Massachusetts;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.8;20.4;25.4;20.4 - 25.4;20.8-23.2
462;Symptoms of Depressive Disorder;By State;Michigan;Michigan;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.9;23.8;32.2;23.8 - 32.2;25.7-36.4
463;Symptoms of Depressive Disorder;By State;Minnesota;Minnesota;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.0;16.5;23.9;16.5 - 23.9;18.1-20.7
464;Symptoms of Depressive Disorder;By State;Mississippi;Mississippi;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;36.4;30.8;42.4;30.8 - 42.4;25.7-36.4
465;Symptoms of Depressive Disorder;By State;Missouri;Missouri;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.3;19.1;30.0;19.1 - 30.0;23.3-25.6
466;Symptoms of Depressive Disorder;By State;Montana;Montana;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;21.1;16.3;26.6;16.3 - 26.6;20.8-23.2
467;Symptoms of Depressive Disorder;By State;Nebraska;Nebraska;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.4;16.2;25.2;16.2 - 25.2;18.1-20.7
468;Symptoms of Depressive Disorder;By State;Nevada;Nevada;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.9;22.6;31.6;22.6 - 31.6;25.7-36.4
469;Symptoms of Depressive Disorder;By State;New Hampshire;New Hampshire;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.3;16.8;24.2;16.8 - 24.2;18.1-20.7
470;Symptoms of Depressive Disorder;By State;New Jersey;New Jersey;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.9;22.5;31.6;22.5 - 31.6;25.7-36.4
471;Symptoms of Depressive Disorder;By State;New Mexico;New Mexico;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.4;23.9;33.3;23.9 - 33.3;25.7-36.4
472;Symptoms of Depressive Disorder;By State;New York;New York;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;23.8;20.0;28.0;20.0 - 28.0;23.3-25.6
473;Symptoms of Depressive Disorder;By State;North Carolina;North Carolina;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.6;17.3;28.7;17.3 - 28.7;20.8-23.2
474;Symptoms of Depressive Disorder;By State;North Dakota;North Dakota;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.5;16.9;29.0;16.9 - 29.0;20.8-23.2
475;Symptoms of Depressive Disorder;By State;Ohio;Ohio;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.0;21.8;32.7;21.8 - 32.7;25.7-36.4
476;Symptoms of Depressive Disorder;By State;Oklahoma;Oklahoma;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.7;20.2;31.7;20.2 - 31.7;25.7-36.4
477;Symptoms of Depressive Disorder;By State;Oregon;Oregon;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.7;19.4;26.4;19.4 - 26.4;20.8-23.2
478;Symptoms of Depressive Disorder;By State;Pennsylvania;Pennsylvania;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;19.8;16.1;24.0;16.1 - 24.0;18.1-20.7
479;Symptoms of Depressive Disorder;By State;Rhode Island;Rhode Island;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;18.8;14.3;24.0;14.3 - 24.0;18.1-20.7
480;Symptoms of Depressive Disorder;By State;South Carolina;South Carolina;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.3;21.3;29.7;21.3 - 29.7;23.3-25.6
481;Symptoms of Depressive Disorder;By State;South Dakota;South Dakota;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.7;16.7;29.7;16.7 - 29.7;20.8-23.2
482;Symptoms of Depressive Disorder;By State;Tennessee;Tennessee;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.6;21.6;29.9;21.6 - 29.9;23.3-25.6
483;Symptoms of Depressive Disorder;By State;Texas;Texas;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.9;21.8;28.1;21.8 - 28.1;23.3-25.6
484;Symptoms of Depressive Disorder;By State;Utah;Utah;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;21.2;17.8;24.9;17.8 - 24.9;20.8-23.2
485;Symptoms of Depressive Disorder;By State;Vermont;Vermont;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;19.0;15.4;23.1;15.4 - 23.1;18.1-20.7
486;Symptoms of Depressive Disorder;By State;Virginia;Virginia;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.4;21.7;29.4;21.7 - 29.4;23.3-25.6
487;Symptoms of Depressive Disorder;By State;Washington;Washington;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;23.2;20.2;26.5;20.2 - 26.5;20.8-23.2
488;Symptoms of Depressive Disorder;By State;West Virginia;West Virginia;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.0;20.9;33.9;20.9 - 33.9;25.7-36.4
489;Symptoms of Depressive Disorder;By State;Wisconsin;Wisconsin;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.3;16.3;24.7;16.3 - 24.7;18.1-20.7
490;Symptoms of Depressive Disorder;By State;Wyoming;Wyoming;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.7;15.1;27.2;15.1 - 27.2;18.1-20.7
491;Symptoms of Anxiety Disorder;National Estimate;United States;United States;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.2;27.6;28.9;27.6 - 28.9;
492;Symptoms of Anxiety Disorder;By Age;United States;18 - 29 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;38.6;36.2;41.1;36.2 - 41.1;
493;Symptoms of Anxiety Disorder;By Age;United States;30 - 39 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;32.2;30.3;34.1;30.3 - 34.1;
494;Symptoms of Anxiety Disorder;By Age;United States;40 - 49 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;30.7;28.9;32.5;28.9 - 32.5;
495;Symptoms of Anxiety Disorder;By Age;United States;50 - 59 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.4;26.6;30.3;26.6 - 30.3;
496;Symptoms of Anxiety Disorder;By Age;United States;60 - 69 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.3;20.7;24.0;20.7 - 24.0;
497;Symptoms of Anxiety Disorder;By Age;United States;70 - 79 years;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;13.4;12.0;15.0;12.0 - 15.0;
498;Symptoms of Anxiety Disorder;By Age;United States;80 years and above;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;11.8;8.8;15.3;8.8 - 15.3;
499;Symptoms of Anxiety Disorder;By Sex;United States;Male;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.2;23.2;25.2;23.2 - 25.2;
500;Symptoms of Anxiety Disorder;By Sex;United States;Female;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;32.1;31.0;33.1;31.0 - 33.1;
501;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Hispanic or Latino;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;33.6;31.1;36.2;31.1 - 36.2;
502;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic White, single race;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.3;25.4;27.2;25.4 - 27.2;
503;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Black, single race;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;32.7;30.7;34.7;30.7 - 34.7;
504;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic Asian, single race;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;23.4;20.9;26.2;20.9 - 26.2;
505;Symptoms of Anxiety Disorder;By Race/Hispanic ethnicity;United States;Non-Hispanic, other races and multiple races;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;31.3;27.6;35.2;27.6 - 35.2;
506;Symptoms of Anxiety Disorder;By Education;United States;Less than a high school diploma;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;34.3;30.3;38.5;30.3 - 38.5;
507;Symptoms of Anxiety Disorder;By Education;United States;High school diploma or GED;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;30.5;28.7;32.4;28.7 - 32.4;
508;Symptoms of Anxiety Disorder;By Education;United States;Some college/Associate's degree;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;30.2;28.7;31.7;28.7 - 31.7;
509;Symptoms of Anxiety Disorder;By Education;United States;Bachelor's degree or higher;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;22.7;21.7;23.6;21.7 - 23.6;
510;Symptoms of Anxiety Disorder;By State;Alabama;Alabama;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;20.7;16.7;25.1;16.7 - 25.1;19.0-25.2
511;Symptoms of Anxiety Disorder;By State;Alaska;Alaska;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.2;22.0;30.7;22.0 - 30.7;25.3-27.4
512;Symptoms of Anxiety Disorder;By State;Arizona;Arizona;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;29.0;25.1;33.2;25.1 - 33.2;28.9-36.1
513;Symptoms of Anxiety Disorder;By State;Arkansas;Arkansas;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.7;24.7;32.9;24.7 - 32.9;27.5-28.8
514;Symptoms of Anxiety Disorder;By State;California;California;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;32.3;29.0;35.7;29.0 - 35.7;28.9-36.1
515;Symptoms of Anxiety Disorder;By State;Colorado;Colorado;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.6;24.2;31.3;24.2 - 31.3;27.5-28.8
516;Symptoms of Anxiety Disorder;By State;Connecticut;Connecticut;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.7;24.2;33.5;24.2 - 33.5;27.5-28.8
517;Symptoms of Anxiety Disorder;By State;Delaware;Delaware;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.6;22.0;31.6;22.0 - 31.6;25.3-27.4
518;Symptoms of Anxiety Disorder;By State;District of Columbia;District of Columbia;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;33.3;26.0;41.3;26.0 - 41.3;28.9-36.1
519;Symptoms of Anxiety Disorder;By State;Florida;Florida;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.2;25.1;31.4;25.1 - 31.4;27.5-28.8
520;Symptoms of Anxiety Disorder;By State;Georgia;Georgia;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.6;23.7;31.7;23.7 - 31.7;27.5-28.8
521;Symptoms of Anxiety Disorder;By State;Hawaii;Hawaii;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.1;19.0;29.8;19.0 - 29.8;19.0-25.2
522;Symptoms of Anxiety Disorder;By State;Idaho;Idaho;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;24.0;19.4;29.2;19.4 - 29.2;19.0-25.2
523;Symptoms of Anxiety Disorder;By State;Illinois;Illinois;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.5;24.7;32.6;24.7 - 32.6;27.5-28.8
524;Symptoms of Anxiety Disorder;By State;Indiana;Indiana;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;32.6;27.5;38.0;27.5 - 38.0;28.9-36.1
525;Symptoms of Anxiety Disorder;By State;Iowa;Iowa;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;19.0;14.7;24.0;14.7 - 24.0;19.0-25.2
526;Symptoms of Anxiety Disorder;By State;Kansas;Kansas;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;26.7;22.8;30.9;22.8 - 30.9;25.3-27.4
527;Symptoms of Anxiety Disorder;By State;Kentucky;Kentucky;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.7;23.5;32.2;23.5 - 32.2;27.5-28.8
528;Symptoms of Anxiety Disorder;By State;Louisiana;Louisiana;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.9;22.8;33.5;22.8 - 33.5;27.5-28.8
529;Symptoms of Anxiety Disorder;By State;Maine;Maine;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;30.6;24.7;36.9;24.7 - 36.9;28.9-36.1
530;Symptoms of Anxiety Disorder;By State;Maryland;Maryland;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.3;25.1;31.7;25.1 - 31.7;27.5-28.8
531;Symptoms of Anxiety Disorder;By State;Massachusetts;Massachusetts;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.4;24.1;30.9;24.1 - 30.9;25.3-27.4
532;Symptoms of Anxiety Disorder;By State;Michigan;Michigan;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;28.5;24.4;32.9;24.4 - 32.9;27.5-28.8
533;Symptoms of Anxiety Disorder;By State;Minnesota;Minnesota;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;27.1;22.7;31.9;22.7 - 31.9;25.3-27.4
534;Symptoms of Anxiety Disorder;By State;Mississippi;Mississippi;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;36.1;29.1;43.6;29.1 - 43.6;28.9-36.1
535;Symptoms of Anxiety Disorder;By State;Missouri;Missouri;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;30.4;25.2;36.0;25.2 - 36.0;28.9-36.1
536;Symptoms of Anxiety Disorder;By State;Montana;Montana;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;25.7;20.7;31.1;20.7 - 31.1;25.3-27.4
537;Symptoms of Anxiety Disorder;By State;Nebraska;Nebraska;1;3;May 14 - May 19, 2020;05/14/2020;05/19/2020;23.3;18.8;28.4;18.8 - 28.4;19.0-25.2
